epoch,train_loss,val_loss,dice,iou,sensitivity,specificity,accuracy
1,0.7692537009716034,0.7729809433221817,0.17564499750733376,0.09651851654052734,1.0,4.2235768512146124e-13,0.09651851654052734
2,0.7189921140670776,0.7687818259000778,0.17564499750733376,0.09651851654052734,1.0,4.2235768512146124e-13,0.09651851654052734
3,0.6830372363328934,0.7547788023948669,4.07231713628331e-12,4.07231713628331e-12,4.07231713628331e-12,1.0,0.9034814834594727
4,0.6630649566650391,0.7331676334142685,4.07231713628331e-12,4.07231713628331e-12,4.07231713628331e-12,1.0,0.9034814834594727
5,0.643599346280098,0.7095102667808533,4.07231713628331e-12,4.07231713628331e-12,4.07231713628331e-12,1.0,0.9034814834594727
6,0.6252322643995285,0.6850309073925018,4.07231713628331e-12,4.07231713628331e-12,4.07231713628331e-12,1.0,0.9034814834594727
7,0.6123199611902237,0.6650804281234741,4.07231713628331e-12,4.07231713628331e-12,4.07231713628331e-12,1.0,0.9034814834594727
8,0.5990593582391739,0.6499611139297485,0.0004203152525532962,0.0002103344336446346,0.0002103344336446346,1.0,0.9035043716430664
9,0.5882447957992554,0.6444151997566223,0.0031247174920281395,0.0015666605468140915,0.001594322548044147,0.9966295808553696,0.9005985260009766
10,0.5756757855415344,0.6496255397796631,0.00884809356648475,0.004448942985618487,0.004723264981294051,0.9924421310424805,0.8970851898193359
11,0.5652984827756882,0.6508705466985703,0.08548226952552795,0.0448322519659996,0.05416706996038556,0.9806162267923355,0.8909292221069336
12,0.5512864291667938,0.6333654969930649,0.15168464556336403,0.0823254119604826,0.09664738364517689,0.9828944206237793,0.8969936370849609
13,0.5414184331893921,0.5845933854579926,0.3736540153622627,0.22992336750030518,0.26991526409983635,0.9823408871889114,0.9132566452026367
14,0.5305405855178833,0.5774681866168976,0.3768486827611923,0.23224953562021255,0.27358845993876457,0.9819336086511612,0.9133081436157227
15,0.5186280161142349,0.5128277391195297,0.5946681499481201,0.42391735315322876,0.5099372118711472,0.9796597957611084,0.9336042404174805
16,0.5063790827989578,0.48129142075777054,0.6658125221729279,0.4995412304997444,0.5833889544010162,0.9826634228229523,0.9434804916381836
17,0.4935126379132271,0.45668140053749084,0.7159335613250732,0.5577337294816971,0.6703420579433441,0.9788461774587631,0.9485721588134766
