Epoch 21/50: 100% 4/4 [00:01<00:00,  2.37it/s]{'epoch': 21, 'train_loss': 0.5322253406047821, 'val_loss': 0.742890864610672, 'dice': 0.07017575018107891, 'iou': 0.03651899518445134, 'sensitivity': 0.040024930611252785, 'specificity': 0.9899916350841522, 'accuracy': 0.8981494903564453}
Epoch 22/50: 100% 4/4 [00:01<00:00,  2.36it/s]{'epoch': 22, 'train_loss': 0.5281504243612289, 'val_loss': 0.7430799454450607, 'dice': 0.07176131568849087, 'iou': 0.037374031729996204, 'sensitivity': 0.040744461584836245, 'specificity': 0.9905803352594376, 'accuracy': 0.8987531661987305}
Epoch 23/50: 100% 4/4 [00:01<00:00,  2.35it/s]{'epoch': 23, 'train_loss': 0.5242895036935806, 'val_loss': 0.7430442273616791, 'dice': 0.07341815065592527, 'iou': 0.038271002005785704, 'sensitivity': 0.04149470431730151, 'specificity': 0.9911502748727798, 'accuracy': 0.8993473052978516}
Epoch 24/50: 100% 4/4 [00:01<00:00,  2.13it/s]{'epoch': 24, 'train_loss': 0.5205312371253967, 'val_loss': 0.7428569495677948, 'dice': 0.07525329105556011, 'iou': 0.03926065098494291, 'sensitivity': 0.04241136834025383, 'specificity': 0.9915535897016525, 'accuracy': 0.8998079299926758}
Epoch 25/50: 100% 4/4 [00:01<00:00,  2.22it/s]{'epoch': 25, 'train_loss': 0.5176757127046585, 'val_loss': 0.7423402369022369, 'dice': 0.07732396386563778, 'iou': 0.040384740103036165, 'sensitivity': 0.04348092386499047, 'specificity': 0.9919314980506897, 'accuracy': 0.9002552032470703}
Epoch 26/50: 100% 4/4 [00:01<00:00,  1.94it/s]{'epoch': 26, 'train_loss': 0.514615997672081, 'val_loss': 0.741489052772522, 'dice': 0.08223598450422287, 'iou': 0.04306557076051831, 'sensitivity': 0.04628538992255926, 'specificity': 0.9921783059835434, 'accuracy': 0.9007368087768555}
Epoch 27/50: 100% 4/4 [00:02<00:00,  2.06it/s]{'epoch': 27, 'train_loss': 0.5122496336698532, 'val_loss': 0.7424203157424927, 'dice': 0.08159427344799042, 'iou': 0.04273579875007272, 'sensitivity': 0.045728327706456184, 'specificity': 0.9926667660474777, 'accuracy': 0.9011192321777344}
Epoch 28/50: 100% 4/4 [00:01<00:00,  2.32it/s]{'epoch': 28, 'train_loss': 0.509303942322731, 'val_loss': 0.74369977414608, 'dice': 0.08152206521481276, 'iou': 0.04270820040255785, 'sensitivity': 0.04561915481463075, 'specificity': 0.9928259551525116, 'accuracy': 0.9012584686279297}
Epoch 29/50: 100% 4/4 [00:01<00:00,  2.31it/s]{'epoch': 29, 'train_loss': 0.5070174932479858, 'val_loss': 0.7441836893558502, 'dice': 0.08336032181978226, 'iou': 0.043721348978579044, 'sensitivity': 0.046576629392802715, 'specificity': 0.9930815547704697, 'accuracy': 0.9015913009643555}
Epoch 30/50: 100% 4/4 [00:01<00:00,  2.09it/s]{'epoch': 30, 'train_loss': 0.5048731788992882, 'val_loss': 0.7448125034570694, 'dice': 0.08676519617438316, 'iou': 0.04559003654867411, 'sensitivity': 0.04849941935390234, 'specificity': 0.9932373315095901, 'accuracy': 0.9019231796264648}
Epoch 31/50: 100% 4/4 [00:01<00:00,  2.13it/s]{'epoch': 31, 'train_loss': 0.5026808530092239, 'val_loss': 0.7447939962148666, 'dice': 0.09229448065161705, 'iou': 0.04861974390223622, 'sensitivity': 0.051609833259135485, 'specificity': 0.993474155664444, 'accuracy': 0.9024496078491211}
Epoch 32/50: 100% 4/4 [00:01<00:00,  2.28it/s]{'epoch': 32, 'train_loss': 0.5011601895093918, 'val_loss': 0.7453741282224655, 'dice': 0.09476146940141916, 'iou': 0.04997237306088209, 'sensitivity': 0.05293814651668072, 'specificity': 0.9937285780906677, 'accuracy': 0.9028139114379883}
Epoch 33/50: 100% 4/4 [00:01<00:00,  2.27it/s]{'epoch': 33, 'train_loss': 0.4993407428264618, 'val_loss': 0.7456155717372894, 'dice': 0.09824418369680643, 'iou': 0.05189947318285704, 'sensitivity': 0.05487217474728823, 'specificity': 0.9939659684896469, 'accuracy': 0.9032135009765625}
Epoch 34/50: 100% 4/4 [00:01<00:00,  2.25it/s]{'epoch': 34, 'train_loss': 0.49766509234905243, 'val_loss': 0.7457796931266785, 'dice': 0.10292353574186563, 'iou': 0.05451149307191372, 'sensitivity': 0.057581654749810696, 'specificity': 0.9940715283155441, 'accuracy': 0.903569221496582}
Epoch 35/50: 100% 4/4 [00:01<00:00,  2.27it/s]{'epoch': 35, 'train_loss': 0.49698178470134735, 'val_loss': 0.7452915608882904, 'dice': 0.10526187531650066, 'iou': 0.055819669272750616, 'sensitivity': 0.05885115824639797, 'specificity': 0.9942967146635056, 'accuracy': 0.9038915634155273}
Epoch 36/50: 100% 4/4 [00:01<00:00,  2.18it/s]{'epoch': 36, 'train_loss': 0.49533723294734955, 'val_loss': 0.7453882843255997, 'dice': 0.10631122626364231, 'iou': 0.05642276396974921, 'sensitivity': 0.05931386072188616, 'specificity': 0.994632288813591, 'accuracy': 0.9042367935180664}
