epoch,train_loss,val_loss,dice,iou,sensitivity,specificity,accuracy
1,0.7673123478889465,0.8085373640060425,0.184848815202713,0.10210352204740047,0.9937765002250671,0.06718169152736664,0.1565694808959961
2,0.7388613373041153,0.7706271260976791,0.24294734373688698,0.13881689123809338,0.9041563421487808,0.409199595451355,0.45598697662353516
3,0.7153030037879944,0.75431689620018,0.2413097694516182,0.13746060617268085,0.5135541558265686,0.713022455573082,0.6946086883544922
4,0.6934150904417038,0.7390677183866501,0.1343210618942976,0.07208842225372791,0.08910244144499302,0.9764060080051422,0.8905858993530273
5,0.6723710298538208,0.7366256266832352,0.1219815518707037,0.06500121764838696,0.07720986753702164,0.9809906929731369,0.8936014175415039
6,0.6544584780931473,0.7388642877340317,0.08065926097333431,0.04207434784621,0.04836477153003216,0.9849554896354675,0.894413948059082
7,0.6392974704504013,0.7441116869449615,0.045313430950045586,0.02324469108134508,0.026227989234030247,0.9869144856929779,0.8940620422363281
8,0.6233870387077332,0.7466320097446442,0.034716104390099645,0.01772696222178638,0.01947148353792727,0.9893676489591599,0.8956689834594727
9,0.6111432760953903,0.7472347766160965,0.03780650720000267,0.01934039848856628,0.021274451166391373,0.9890445470809937,0.8955535888671875
10,0.6004837155342102,0.7477640062570572,0.04329806286841631,0.022212511394172907,0.02462222706526518,0.9882509708404541,0.8951482772827148
11,0.590655118227005,0.7481447607278824,0.047297423239797354,0.0243085369002074,0.02719259448349476,0.9873406291007996,0.8945655822753906
12,0.5829405784606934,0.7490327954292297,0.048241664189845324,0.024808841990306973,0.028026927495375276,0.9861189424991608,0.8935489654541016
13,0.5749140232801437,0.7478266954421997,0.05627088341861963,0.02905111643485725,0.03294215048663318,0.9857955724000931,0.8937234878540039
14,0.5682362616062164,0.7441006749868393,0.07159758359193802,0.03724144119769335,0.04220415744930506,0.9860362261533737,0.894810676574707
15,0.5619823783636093,0.7397142350673676,0.08967031352221966,0.047070533968508244,0.053315265104174614,0.9863107800483704,0.8960952758789062
16,0.5565335154533386,0.7386093139648438,0.09117664862424135,0.04790595592930913,0.05397101119160652,0.9869388192892075,0.8967189788818359
17,0.5502399206161499,0.7391154617071152,0.08495822362601757,0.04452247079461813,0.04974363325163722,0.9878515154123306,0.8971319198608398
18,0.5451936423778534,0.7406900078058243,0.07528251130133867,0.03926416207104921,0.04354662308469415,0.9886594712734222,0.8972759246826172
19,0.5402553379535675,0.7417707145214081,0.07058892585337162,0.036734999157488346,0.040497015696018934,0.9893214702606201,0.897587776184082
20,0.536193460226059,0.7424316108226776,0.06940954178571701,0.03610640624538064,0.03965670941397548,0.9897279143333435,0.8978757858276367
21,0.5322253406047821,0.742890864610672,0.07017575018107891,0.03651899518445134,0.040024930611252785,0.9899916350841522,0.8981494903564453
22,0.5281504243612289,0.7430799454450607,0.07176131568849087,0.037374031729996204,0.040744461584836245,0.9905803352594376,0.8987531661987305
